Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Mamma Mia Sequel Adds Cher,10/16/2017,FALSE,5:08 PM,,,Variety
Angelina Jolie Joins The One and Only Ivan,10/16/2017,FALSE,12:57 PM,,,Hollywood Reporter
Gambit Scheduled for February 2019,10/12/2017,FALSE,5:13 PM,,,Hollywood Reporter
Animated Addams Family to Be Helmed by Sausage Party Director,10/12/2017,FALSE,5:13 PM,,,Hollywood Reporter
The CW Is Rebooting Roswell,10/12/2017,FALSE,12:47 PM,,,Variety
The Beetlejuice Sequel Has a New Writer,10/12/2017,FALSE,11:47 AM,,,deadline
Gal Gadot Heads for Ruin,10/11/2017,FALSE,3:15 PM,,,Hollywood Reporter
Josh Boone Is Scripting an Adaptation of Stephen King’s The Talisman,10/11/2017,FALSE,3:14 PM,,,Variety
Sony Developing Settlers of Catan Movie,10/11/2017,FALSE,3:10 PM,,,Variety
Mr. Mercedes Renewed for Season 2,10/10/2017,FALSE,12:47 PM,,,Variety
Sylvester Stallone to Direct Creed 2,10/9/2017,FALSE,6:59 PM,,,CinemaBlend.com
Will Smith and Tom Holland Are Spies in Disguise,10/9/2017,FALSE,6:58 PM,,,Variety
Linda Cardellini Leads The Children,10/9/2017,FALSE,6:58 PM,,,Variety
Fast and the Furious Spinoff Scheduled for 2019,10/5/2017,FALSE,5:38 PM,,,Hollywood Reporter
Gore Verbinski to Direct Gambit,10/5/2017,FALSE,4:19 PM,,,deadline
Death Wish Bumped to 2018,10/5/2017,FALSE,4:19 PM,,,Variety
Bride of Frankenstein Removed from Release Schedule,10/5/2017,FALSE,11:54 AM,,,Variety
Fast and Furious 9 Bumped to 2020,10/4/2017,FALSE,10:37 AM,,,Hollywood Reporter
Bob’s Burgers Movie in Development,10/4/2017,FALSE,10:27 AM,,,Hollywood Reporter
Kate Winslet Joins Avatar Sequels,10/3/2017,FALSE,5:34 PM,,,Hollywood Reporter
Venom Adds Jenny Slate,10/3/2017,FALSE,5:33 PM,,,Hollywood Reporter
Joachim Ronning in Talks to Direct Maleficent 2,10/3/2017,FALSE,1:51 PM,,,Variety
Daisy Ridley Leads Daddio,10/3/2017,FALSE,12:34 PM,,,Variety
Men in Black Spinoff Set for May 2019,9/29/2017,FALSE,1:24 PM,,,Hollywood Reporter
Kristen Stewart Wanted for New Charlie’s Angels,9/29/2017,FALSE,9:55 AM,,,Variety
The New Flight of the Navigator Has a Screenwriter,9/28/2017,FALSE,10:23 AM,,,Hollywood Reporter
Coming to America 2 Is Really Happening,9/28/2017,FALSE,4:32 AM,,,Variety
Denis Villeneuve Could Direct Cleopatra,9/28/2017,FALSE,4:31 AM,,,Variety
That New Die Hard Movie Is Still in Development,9/27/2017,FALSE,2:44 PM,,,deadline
Michelle Williams Joins Venom,9/27/2017,FALSE,11:23 AM,,,Variety
New Terminator to Pick Up Where Judgment Day Left Off,9/27/2017,FALSE,10:13 AM,,,Hollywood Reporter
Phil Lord and Chris Miller to Direct Artemis,9/26/2017,FALSE,1:11 PM,,,Hollywood Reporter
David Oyelowo to Star in Disney Musical Cyrano the Moor,9/26/2017,FALSE,4:09 AM,,,deadline
It Sequel Dated for September 2019,9/25/2017,FALSE,5:05 PM,,,Hollywood Reporter
